customer_text,human_overall
"Surprised at how patronising, rude and unhelpful @115830's customer service is. Spent 30 minutes having my own words said back to me with no solution. Literally ""you have ordered this item"" - YES I KNOW. IT'S WHY I'M HERE.",5
@115850 when can I expect a refund for the below??? https://t.co/gIoQxVLX0U,5
@AmazonHelp @115850 this is starting if u will not transfer my money to bank account from Amazon pay I wil show u women power. B ready,5
"@115851 @115850  order returned on 3rd Oct, no update till date such a pathetic service. Everytime need 2 call help line no https://t.co/wy9terrFNV",5
@AmazonHelp Received an email from account specialist - reset password to get back in. Reset password and still getting password incorrect.,5
@AmazonHelp So many times....well you need to fire those loosers ...,4
"@115830  Order # 203-4347016-8002734 shows as failed delivery and the business being shut when I've been sat in it all day, isn't on.",4
@AmazonHelp  https://t.co/xiLl15MBmr,5
"@115830 i haven't received refund , I already dm you order id.",4
"@AmazonHelp Already reported on 1 oct, nothing happened. Please handle the matter professional, then I need not to tweet here.",3
"@115850 
Package not delivered. But you have mail &amp; SMS saying it is delivered.
This is unacceptable, https://t.co/RRRiveinn5",5
"@232600 When your 1st delivery from @AmazonHelp is late then gets lost, then the 2nd delivery also fails to turn up on time - oh &amp; u pay for Prime",5
i almost lost a package i ordered from amazon and they fixed it so quickly (': bless them,4
"3 fois que je commande chez @120533, 3 fois qu'on m'appelle car on ne trouve pas la BAL... aucun soucis avec tous les autres livreurs... un signe que je ne devrais plus commandez chez eux ... 😂😂",4
@AmazonHelp Wrong item delivered yet charged for it,5
@138673 @115850 What's the point of paying for #amazonprime subscription when fully paid for items conveniently go missing?,5
"@115821 wow this is really shitty. This is your delivery service I believe. This why packages go missing, in Brooklyn. https://t.co/OwAM0ESH4b",4
"@AmazonHelp I'm not asking for a price match. I'm asking for a refund, as it was promised to me by an Amazon representative.",4
@115830 my account says an item has been dispatched though I have not recieved an email confirming it.,4
