customer_text,draft_reply,groundedness,helpfulness,tone,safety,overall,rationale
"Surprised at how patronising, rude and unhelpful @115830's customer service is. Spent 30 minutes having my own words said back to me with no solution. Literally ""you have ordered this item"" - YES I KNOW. IT'S WHY I'M HERE.",We’re sorry for the experience. Please DM us your order number and details so we can investigate and resolve this promptly. ^EM,5,5,5,5,5,"The draft follows AmazonHelp norms by apologizing, asking the customer to DM their order number and details, which is the standard next step. It is empathetic, concise, and professional, and it does not request sensitive information like passwords or promise refunds, making it safe. All criteria are met strongly, warranting top scores."
@115850 when can I expect a refund for the below??? https://t.co/gIoQxVLX0U,"@115850 We’re sorry for the delay. Please DM us your order # so we can look into your refund. For privacy, avoid sharing details publicly. Thank you!",5,5,5,5,5,"The draft follows AmazonHelp’s typical pattern of asking the customer to DM their order number for privacy, provides a clear next step, uses an apologetic and courteous tone, and does not request sensitive information or make policy promises. All rubric criteria are fully met."
@AmazonHelp @115850 this is starting if u will not transfer my money to bank account from Amazon pay I wil show u women power. B ready,"@115850 We’re sorry for the inconvenience. For security, please don’t share personal details here. Visit your Amazon Pay account or the Help Center to resolve the transfer. ^KA",3,3,4,5,4,"The reply follows AmazonHelp’s safe style by warning against sharing personal details and directing the user to the Amazon Pay account/Help Center, which is appropriate and does not promise refunds or request passwords. It is empathetic and concise, matching the typical Twitter support tone. However, it is less grounded in the usual practice of asking the user to DM or provide an order/account reference for a more secure, personalized investigation, so the groundedness and concrete helpfulness are only moderate."
"@115851 @115850  order returned on 3rd Oct, no update till date such a pathetic service. Everytime need 2 call help line no https://t.co/wy9terrFNV",@115851 We're sorry for the delay with your return. Please DM us or report it here: https://t.co/2t6DQpbXFx so we can investigate and update you promptly. Thank you for your patience.,4,4,5,5,4,"The reply follows AmazonHelp norms by asking the user to DM or use a reporting link, which is typical, though it doesn’t explicitly request the order number, slightly reducing groundedness. It gives a clear next step, making it helpful, and the tone is empathetic, concise, and professional. No unsafe requests or false promises are made, so safety is high. Overall it is a solid draft but could be improved by asking for the order # for faster resolution."
@AmazonHelp Received an email from account specialist - reset password to get back in. Reset password and still getting password incorrect.,Sorry you're still seeing a password error after resetting. Please DM us your email or visit https://www.amazon.com/gp/help/customer/contact-us so we can securely investigate your account.,5,5,5,5,5,"The reply follows AmazonHelp’s typical pattern of asking the user to DM their email or use the contact‑us link for account issues, providing a clear next step, uses an apologetic and concise tone, and does not request passwords or make policy promises, making it safe and production‑ready."
"@115830  Order # 203-4347016-8002734 shows as failed delivery and the business being shut when I've been sat in it all day, isn't on.",@115830 Sorry to hear about the failed delivery. Could you tell us which carrier is handling your order? You can also reach support here: https://t.co/SupportLink,2,2,4,5,3,"The reply is polite and concise, meeting tone expectations, and it avoids unsafe requests, so safety scores high. However, it deviates from typical AmazonHelp practice: it asks for the carrier rather than confirming the order number or moving the conversation to a private channel, which reduces groundedness. The suggested next step (asking for carrier) is not very actionable for the customer, and the support link is generic, limiting helpfulness. Overall, the draft is safe and well‑toned but lacks alignment with AmazonHelp norms and concrete guidance, resulting in a moderate overall rating."
@AmazonHelp  https://t.co/xiLl15MBmr,@190607 Thanks for contacting us! Please DM us with your order number or details so we can help you further. ^SA,5,5,5,5,5,"The reply follows AmazonHelp’s typical pattern of asking the customer to DM order details, provides a clear next step, uses a polite and concise tone, and does not request sensitive information or make policy promises, making it safe and ready for production."
@AmazonHelp my wife ordered a one day shipping item. It says delivered at 7:15pm but it's not here. Order# 112-5939975-9049825,Sorry to hear your one‑day item shows delivered but isn’t there. Please DM us your order # or contact support here: https://t.co/xyz123 so we can investigate. ^DW,5,5,5,5,5,"The draft follows AmazonHelp’s typical pattern of asking the customer to DM their order number or use a support link, providing a clear next step. It expresses empathy, stays concise and professional, and does not request sensitive information or promise refunds, making it safe and ready for production use."
"@115830 i haven't received refund , I already dm you order id.",@115830 Sorry to hear you haven’t received your refund. Please DM us your order number via our secure channel so we can investigate. ^HC,5,5,5,5,5,"The draft follows AmazonHelp conventions by asking the user to DM their order number via a secure channel, which is the standard way to handle refund inquiries. It offers a clear, actionable next step, shows empathy, stays concise and professional, and does not request sensitive information or promise policy exceptions, making it safe and ready for production use."
"@AmazonHelp Already reported on 1 oct, nothing happened. Please handle the matter professional, then I need not to tweet here.","@customer We’re sorry for the delay. Please confirm if you’ve filed an A‑Z claim via the link we sent. If not, submit your details there so we can investigate promptly. Thank you.",4,5,5,5,4,"The reply follows typical AmazonHelp style by apologizing and directing the user to an A‑Z claim, which is a common next step. It offers a clear, actionable instruction, maintains an empathetic and concise tone, and does not request sensitive information or make unsupported promises. The only minor shortcoming is that it assumes a link was already sent and does not explicitly request the order number or offer a direct DM, which slightly reduces its alignment with historical responses."
