customer_tweet_id,customer_text,customer_author_id,brand_tweet_id,brand_text,heuristic_intent,golden_intent,golden_action,human_intent,human_action,reviewed
67509,"Surprised at how patronising, rude and unhelpful @115830's customer service is. Spent 30 minutes having my own words said back to me with no solution. Literally ""you have ordered this item"" - YES I KNOW. IT'S WHY I'M HERE.",131417,67508,"@131417 Sorry to hear that, Dan. Without revealing any personal information, can you tell me a bit more about the issue?^TI",General Support,General Support,escalate,,,True
438929,@115850 when can I expect a refund for the below??? https://t.co/gIoQxVLX0U,219266,438928,"@219266 Also, please don’t provide your details as we consider them to be personal information. Our Twitter page is public. ^SA",Refund/Return,Refund/Return,auto-handle,,,True
1294246,@AmazonHelp @115850 this is starting if u will not transfer my money to bank account from Amazon pay I wil show u women power. B ready,164814,1294244,"@164814 Sorry for the hassle, Vinita. Could you please confirm if you have filled up the details asked 1/2 ^HS",Account/Billing,Account/Billing,escalate,,,True
281607,"@115851 @115850  order returned on 3rd Oct, no update till date such a pathetic service. Everytime need 2 call help line no https://t.co/wy9terrFNV",183096,281606,@183096 been a case here. Please connect with our support team here: https://t.co/00q4Sqj9zL for assistance. Do keep us posted. (2/2)^KA,Refund/Return,Refund/Return,escalate,,,True
179313,@AmazonHelp Received an email from account specialist - reset password to get back in. Reset password and still getting password incorrect.,158257,179312,"@158257 Hey, please respond to the email from our Account Specialists. If the issue persists reach out - https://t.co/zYVX1Qi29G ^TP",Account/Billing,Account/Billing,escalate,,,True
1837694,@AmazonHelp So many times....well you need to fire those loosers ...,550901,1837697,"@550901 My apologies, Anurag. Kindly fill in your details here: https://t.co/Vv8OCto6FS and we will get back to you soon. ^KS",Product/Device,General Support,escalate,,,True
245854,"@115830  Order # 203-4347016-8002734 shows as failed delivery and the business being shut when I've been sat in it all day, isn't on.",174399,245853,@174399 I'm sorry for the poor delivery experience! We'd like to investigate this. Please give us a call: https://t.co/JzP7hlA23B ^TG,Shipping,Shipping,auto-handle,,,True
354480,@AmazonHelp  https://t.co/xiLl15MBmr,200264,354482,@200264 availability of the eligible item and the customer's pin code. 3/3 ^GK,General Support,General Support,escalate,,auto-handle,True
1193925,@AmazonHelp my wife ordered a one day shipping item. It says delivered at 7:15pm but it's not here. Order# 112-5939975-9049825,180495,1193924,@180495 Thanks for contacting us. Here are some steps to try in situations like this: https://t.co/98Tpfm6ZUO ^GG,Shipping,Shipping,auto-handle,,,True
594580,"@115830 i haven't received refund , I already dm you order id.",260865,594579,@260865 I'm sorry you're still waiting on a refund. We're unable to access order details over Twitter. We can check for you over phone or chat: https://t.co/JzP7hlA23B ^MG,Refund/Return,Refund/Return,auto-handle,,escalate,True
358875,"@AmazonHelp Already reported on 1 oct, nothing happened. Please handle the matter professional, then I need not to tweet here.",200986,358876,"@200986 We'd like to check this and assist. Please share the required details, here: https://t.co/GIJyeYqKE0.  ^YP",Product/Device,General Support,escalate,,,True
